gen,mean_var_y,mean_h2_true,mean_rg_true,mean_he_h2_full,mean_he_rg_full,mean_he_h2_unrel,mean_he_rg_unrel,n_unrel,scenario,seed
0,1.0005300746854031,0.5007982530627195,-0.008796202803606412,,,,,0,5xAM+VT,1
1,1.202338105319063,0.43013799114407353,0.023472890193536433,,,,,0,5xAM+VT,1
2,1.29503034648491,0.40732770855475114,0.04393283120170206,,,,,0,5xAM+VT,1
3,1.3332546265373229,0.4006841873524592,0.056066250392056205,,,,,0,5xAM+VT,1
4,1.3547766160067263,0.39779937117998126,0.06444773201276673,,,,,0,5xAM+VT,1
5,1.3616820595270924,0.39793349396893385,0.0686223287663968,,,0.7512570241005062,0.5092229419283757,128000,5xAM+VT,1
0,0.9923849575237188,0.49675484555987115,-0.0037704964098469913,,,,,0,5xAM+VT,2
1,1.1981695748741397,0.42555918989742736,0.02929421810217237,,,,,0,5xAM+VT,2
2,1.291428973421421,0.40379847611163644,0.048885454209925044,,,,,0,5xAM+VT,2
3,1.329051873396013,0.3978085150142413,0.06065946189027608,,,,,0,5xAM+VT,2
4,1.3446595589117245,0.39576266070419797,0.0670039267856488,,,,,0,5xAM+VT,2
5,1.3570058154772666,0.3941450072788939,0.0727342587406227,,,0.7473444198919712,0.511720567214662,128000,5xAM+VT,2
0,0.9909814614984762,0.4947215603816299,0.002453763224049673,,,,,0,5xAM+VT,3
1,1.1951686090620919,0.42443580940622844,0.0356796408931088,,,,,0,5xAM+VT,3
2,1.2887475893463525,0.4005621665288185,0.0568477423318254,,,,,0,5xAM+VT,3
3,1.3259572581730905,0.3941203229436131,0.06792477647947645,,,,,0,5xAM+VT,3
4,1.3453167968362905,0.3921816406474635,0.07507072274441987,,,,,0,5xAM+VT,3
5,1.3580337269352492,0.39138095806823225,0.07957304768752857,,,0.7477519681972188,0.5178095208327844,128000,5xAM+VT,3
0,0.9895023822119182,0.49426515247456715,-0.00013185523767953404,,,,,0,5xAM+VT,4
1,1.1957776493538153,0.4237250320306344,0.03229214398377206,,,,,0,5xAM+VT,4
2,1.2886943936866986,0.40291982680829175,0.052778030368920384,,,,,0,5xAM+VT,4
3,1.3231450925873611,0.39557019326600223,0.06379437293837939,,,,,0,5xAM+VT,4
4,1.3438418316558578,0.39300516711222017,0.07170064721071377,,,,,0,5xAM+VT,4
5,1.3525786427638118,0.39166952768166885,0.07639378922332121,,,0.7416558747514201,0.5140625301638071,128000,5xAM+VT,4
0,0.9954162900339225,0.4972182698077637,-0.0037385650557109585,,,,,0,5xAM+VT,5
1,1.198107010292236,0.4270640949785866,0.030147003505170335,,,,,0,5xAM+VT,5
2,1.2910793264695173,0.4040770839096088,0.05096054122019661,,,,,0,5xAM+VT,5
3,1.3316231660110782,0.3976964369047785,0.06171230899751977,,,,,0,5xAM+VT,5
4,1.3466757732105894,0.3953928061105949,0.06864041985015448,,,,,0,5xAM+VT,5
5,1.356472371824136,0.394955263891127,0.07456969698242645,,,0.7502375855889907,0.5133461138439184,128000,5xAM+VT,5
