gen,mean_var_y,mean_h2_true,mean_rg_true,mean_he_h2_full,mean_he_rg_full,mean_he_h2_unrel,mean_he_rg_unrel,n_unrel,scenario,seed
0,0.9966413182291192,0.5025239516677144,-0.0109321342799586,0.49990965723937686,-0.008397201537498015,,,0,RM,1
1,1.0005865085140946,0.5008705802295025,-0.0074766313769226295,0.5010750993833286,-0.007480589235426109,,,0,RM,1
2,1.005741642659564,0.500633279189908,-0.010344954159836186,0.5084272645597376,-0.011307035629726885,,,0,RM,1
3,0.9996042141965507,0.5014122374502483,-0.008345140425441414,0.5016255546947223,-0.009078002579849712,,,0,RM,1
4,1.0012291271707066,0.4991028147501752,-0.008071700091829972,0.4998361556500557,-0.0011861945433132045,,,0,RM,1
5,0.9934373468448431,0.5013334776661043,-0.007020826619493689,0.4951220646072304,0.0006783313281291942,0.49514002089721754,0.0038555838021501233,16000,RM,1
0,0.9943929208736518,0.4976375748202795,-0.005310736179428963,0.5008037067789489,-0.0020388665500670625,,,0,RM,2
1,1.0013677280117614,0.49339823818145145,-0.006297700891183275,0.4976552585027484,-0.006341458288878174,,,0,RM,2
2,0.9938089594446146,0.4983787929707816,-0.005236229753357344,0.5008373903721165,-0.006673586227711692,,,0,RM,2
3,0.9909404835527837,0.4997347568861542,-0.0018316867037663873,0.4982738180378338,0.0032887746431303085,,,0,RM,2
4,0.9874266173349646,0.5001623828270634,-0.0028155172179310808,0.4941248314650399,0.0004657856508250515,,,0,RM,2
5,0.9939462267032159,0.4949024678336997,-0.0014489963475240802,0.49574230244451306,0.0007565702512862241,0.49631192960487064,-0.004411515976343988,16000,RM,2
0,0.9811780463375215,0.49627993450990593,0.0027155956901730787,0.4911229831782712,0.00634505467107521,,,0,RM,3
1,0.9850991938770068,0.4930480457264198,0.0006092956942588828,0.4867196417591111,-0.0023870374755637597,,,0,RM,3
2,0.9904563769791407,0.4918521415292972,0.00024198440406481914,0.494276518212991,0.003354367925413552,,,0,RM,3
3,0.9898458767775115,0.49357512509930157,0.0031067632866107,0.49020780025809374,0.002440874979860375,,,0,RM,3
4,0.990643894816345,0.4943357136142805,0.002405033560211799,0.49260561994867913,0.002695369770054433,,,0,RM,3
5,0.9841245715141751,0.49680311710475406,0.005043161519477327,0.4977095852623979,0.015425774419820584,0.4934271564958168,0.013532870456793999,16000,RM,3
0,0.9911348129134645,0.4941708024650879,-0.003615088525301336,0.4947215914528206,-0.005406584369684305,,,0,RM,4
